Name	Number of Occurrences		FemaleDirIsIn245
Abby Epstein	5		Abby Epstein
Abby Ginzberg	2		Abby Ginzberg
Agnes Varda	2		Agnes Varda
Alice Wu	1		Alice Wu
Allison Anders	3		Allison Anders
Amy Heckerling	3		Amy Heckerling
Amy Serrano	1		Amy Serrano
Ana Lily Amirpour	1		Ana Lily Amirpour
Andrea Arnold	1		Andrea Arnold
Anna Boden	1		Anna Boden
Anne Wheeler	2		Anne Wheeler
Annemarie Jacir	2		Annemarie Jacir
Aparna Sen	1		Aparna Sen
Barbara Kopple	2		Barbara Kopple
Barbra Streisand	2		Barbra Streisand
Beth Murphy	4		Beth Murphy
Byambasuren Davaa	1		Byambasuren Davaa
Cate Shortland	1		Cate Shortland
Catherine Hardwicke	1		Catherine Hardwicke
Christine Jeffs	1		Christine Jeffs
Claire Denis	1		Claire Denis
Courtney Hunt	1		Courtney Hunt
Darnell Martin	2		Darnell Martin
Deborah Kampmeier	1		Deborah Kampmeier
Debra Granik	2		Debra Granik
Dee Rees	2		Dee Rees
Deepa Mehta	7		Deepa Mehta
Dorothy Arzner	1		Dorothy Arzner
Euzhan Palcy	3		Euzhan Palcy
Fina Torres	1		Fina Torres
Forough Farrokhzad	1		Forough Farrokhzad
Franny Armstrong	1		Franny Armstrong
Gurinder Chadha	2		Gurinder Chadha
Iciar Bollain	1		Iciar Bollain
Ida Lupino	1		Ida Lupino
Isabel Coixet	1		Isabel Coixet
Jamie Babbit	1		Jamie Babbit
Jane Campion	3		Jane Campion
Jasmila Zbanic	2		Jasmila Zbanic
Jennifer Baichwal	2		Jennifer Baichwal
Jennifer Fox	2		Jennifer Fox
Jennifer Phang	1		Jennifer Phang
Jennifer Siebel Newsom	1		Jennifer Siebel Newsom
Jessie Nelson	1		Jessie Nelson
Joan Micklin Silver	1		Joan Micklin Silver
Julia Leigh	1		Julia Leigh
Julie Dash	3		Julie Dash
Julie Taymor	1		Julie Taymor
Karyn Kusama	3		Karyn Kusama
Kasi Lemmons	1		Kasi Lemmons
Kathryn Bigelow	8		Kathryn Bigelow
Kim Longinotto	3		Kim Longinotto
Lauren Greenfield	1		Lauren Greenfield
Lee Grant	2		Lee Grant
Leni Riefenstahl	2		Leni Riefenstahl
Lesli Linka Glatter	1		Lesli Linka Glatter
Leyla Bouzid	1		Leyla Bouzid
Li Yu	1		Li Yu
Liliana Cavani	2		Liliana Cavani
Lina Wertmuller	1		Lina Wertmuller
Lisa Cholodenko	1		Lisa Cholodenko
Liz Garbus	1		Liz Garbus
Lizzie Borden	1		Lizzie Borden
Lone Scherfig	1		Lone Scherfig
Lucy Walker	2		Lucy Walker
Lynne Ramsay	1		Lynne Ramsay
Maggie Greenwald	1		Maggie Greenwald
Mai Zetterling	2		Mai Zetterling
Mania Akbari	1		Mania Akbari
Maren Ade	1		Maren Ade
Margaret Lazarus	1		Margaret Lazarus
Maria Maggenti	1		Maria Maggenti
Mary Harron	1		Mary Harron
Maya Deren	3		Maya Deren
Mimi Leder	1		Mimi Leder
Mina Shum	1		Mina Shum
Mira Nair	7		Mira Nair
Monika Treut	3		Monika Treut
Nancy Kates	2		Nancy Kates
Naomi Kawase	1		Naomi Kawase
Ngozi Onwurah	3		Ngozi Onwurah
Niki Caro	1		Niki Caro
Nina Menkes	1		Nina Menkes
Ning Ying	1		Ning Ying
Nora Ephron	1		Nora Ephron
Ondi Timoner	1		Ondi Timoner
Pamela Fryman	1		Pamela Fryman
Pamela Yates	5		Pamela Yates
Patricia Rozema	1		Patricia Rozema
Patty Jenkins	2		Patty Jenkins
Penny Marshall	1		Penny Marshall
Pratibha Parmar	1		Pratibha Parmar
Randa Haines	1		Randa Haines
Rea Tajiri	1		Rea Tajiri
Rebecca Miller	2		Rebecca Miller
Ronit Avni	1		Ronit Avni
Rose Troche	1		Rose Troche
Ruby Yang	1		Ruby Yang
Sabiha Sumar	1		Sabiha Sumar
Sally Potter	3		Sally Potter
Sarah Gavron	2		Sarah Gavron
Sarah Polley	1		Sarah Polley
Shari Springer Berman	1		Shari Springer Berman
Shirin Neshat	1		Shirin Neshat
Sofia Coppola	2		Sofia Coppola
Sophie Fiennes	3		Sophie Fiennes
Susan Stroman	1		Susan Stroman
Susanna White	2		Susanna White
Tamra Davis	2		Tamra Davis
Tata Amaral	1		Tata Amaral
Tiffany Shlain	1		Tiffany Shlain
Tracey Deer	1		Tracey Deer
Tracy Flannigan	1		Tracy Flannigan
Xiao Jiang	1		Xiao Jiang
Yamina Benguigui	1		Yamina Benguigui
Yasmin Ahmad	2		Yasmin Ahmad
Yvonne Rainer	1		Yvonne Rainer
A	1		
Aamir Khan	1		197
Aaron Walker	2		
Aaron Woolf	2		
Abbas Kiarostami	5		
Abby Mann	1		
Abdellatif Kechiche	1		
Abderrahmane Sissako	2		
Abraham Leff	1		
Abraham Polonsky	1		
Abram Room	1		
Abrar Alvi	1		
Ada Ushpiz	1		
Adam Arkin	1		
Adam Curtis	2		
Adam Mc	2		
Adam Pertofsky	1		
Adam Pogoff	1		
Adama Drabo	1		
Aditya Chopra	1		
Adolfo Doring	1		
Adrian Hall	1		
Adrian Lyne	2		
Adrian Pennink	1		
Adriana Barbaro	1		
Adriana Bosch	4		
Ahmed Badrakhan	1		
Aishah Shahidah Simmons	1		
Aki Kaurismaki	1		
Akira Kurosawa	9		
Al Reinert	1		
Alain Berliner	2		
Alain Resnais	3		
Alan Berliner	5		
Alan J	5		
Alan Parker	3		
Alan Ritsko	1		
Alan Rudolph	1		
Alan Schneider	1		
Alan Taylor	1		
Alastair Reid	1		
Alba Sotorra Clua	1		
Albert Maysles	2		
Albert Parker	2		
Albert Serra	1		
Alberto Arvelo	1		
Alberto Cavalcanti	1		
Alberto Rodriguez	1		
Alberto Sironi	1		
Alejandro Amenabar	4		
Alejandro G	2		
Alejandro Gonzalex Inarritu	1		
Alejandro Gonzalez Inarritu	1		
Alejandro Jodorowsky	1		
Alejandro Landes	1		
Alejondro Amenabar	1		
Aleksander Ford	1		
Aleksandr Sokurov	1		
Aleksei Balabanov	1		
Alex Cox	1		
Alex De Verteuil	1		
Alex Gibney	1		
Alex Proyas	2		
Alex Rivera	1		
Alex Segal	1		
Alex Traiman	3		
Alexander Dovzhenko	1		
Alexander Korda	1		
Alexander Mackendrick	3		
Alexander Proshkin	1		
Alexander Rogozhkin	1		
Alexander Sokurov	8		
Alexandra Lescaze	1		
Alexandre O	1		
Alexandro Jodorowsky	1		
Alexey Balabanov	1		
Alfonso Arau	1		
Alfonso Cuaron	3		
Alfred Hitchcock	40		
Alfred Radok	1		
Ali	1		
Ali Raffi	1		
Ali Samadi Ahadi	1		
Alice Markowitz	1		
Alicky Sussman	1		
Alile Sharon Larkin	1		
Alison Klayman	1		
Allan Dwan	3		
Allan Moyle	1		
Allen Mondell	1		
Allison Argo	1		
Allison Berg	1		
Allison Bohl	1		
Almudena Carracedo	1		
Alon Zingman	1		
Alrick Riley	1		
Aluizio Abranches	1		
Alvin Rakoff	3		
Amanda Homsi	1		
Amie S	1		
Amin Matalqa	1		
Amir Bar	3		
Amir Manor	1		
Amir Muhammad	1		
Amir Soltani	1		
Amos Gitai	7		
Amos Kollek	2		
Amy Bucher	1		
Amy Hardie	1		
Ana Sofia Joanes	2		
Ana Vivas	1		
Anatole Litvak	2		
Andre	1		
Andre Haguet	2		
Andre Singer	7		
Andrea Ambandos	4		
Andrea Kalin	1		
Andrei Konchalovsky	2		
Andrei Kravchuk	1		
Andrei Tarkovskii	2		
Andrei Tarkovskij	1		
Andrei Tarkovsky	5		
Andrew Adamson	1		
Andrew Black	1		
Andrew Davis	1		
Andrew Dominik	1		
Andrew Dosunmu	1		
Andrew Fredericks	1		
Andrew Jarecki	1		
Andrew Lampert	1		
Andrew Lau	3		
Andrew Levine	1		
Andrew Liebman	1		
Andrew Marton	1		
Andrew Mudge	1		
Andrew Niccol	2		
Andrew Solt	2		
Andrew Stanton	3		
Andrew Stone	1		
Andrew Thompson	1		
Andrew V	7		
